reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer,matchRound,HomeTeamId
024Goal1302706undefinedtrue,24,Goal,24,,0,"{'id': 1302706, 'name': 'José Briceño', 'profileUrl': '/players/1302706/jose-briceno'}",0,0,/players/1302706/jose-briceno,False,True,,,,,,False,José Briceño,José,Briceño,José Briceño,1302706,"[1, 0]",,,assist by Adalid Terrazas,/players/1284207/adalid-terrazas,1284207,assist_by,Adalid Terrazas,Briceño,1,1297060
048Goal1130734undefinedtrue,48,Goal,48,,0,"{'id': 1130734, 'name': 'Andrés Córdoba', 'profileUrl': '/players/1130734/andres-cordoba'}",1,0,/players/1130734/andres-cordoba,False,True,,,,,,False,Andrés Córdoba,Andrés,Córdoba,Andrés Córdoba,1130734,"[2, 0]",,,assist by Adalid Terrazas,/players/1284207/adalid-terrazas,1284207,assist_by,Adalid Terrazas,Córdoba,1,1297060
075Goal1481516undefinedtrue,75,Goal,75,,0,"{'id': 1481516, 'name': 'Juan Goyeneche', 'profileUrl': '/players/1481516/juan-goyeneche'}",0,1,/players/1481516/juan-goyeneche,False,True,,,,,,False,Juan Goyeneche,Juan,Goyeneche,Juan Goyeneche,1481516,"[1, 1]",,,assist by Moisés Calero,/players/1079121/moises-calero,1079121,assist_by,Moisés Calero,Goyeneche,1,1504770
020Goal1759841undefinedtrue,20,Goal,20,,0,"{'id': 1759841, 'name': 'Guilder Cuellar', 'profileUrl': '/players/1759841/guilder-cuellar'}",0,1,/players/1759841/guilder-cuellar,False,True,,,,,,False,Guilder Cuellar,Guilder,Cuellar,Guilder Cuellar,1759841,"[1, 1]",,,assist by Daniel Camacho,/players/935749/daniel-camacho,935749,assist_by,Daniel Camacho,Cuellar,1,879029
023Goal1683732undefinedtrue,23,Goal,23,,0,"{'id': 1683732, 'name': 'Nicolas Masskooni', 'profileUrl': '/players/1683732/nicolas-masskooni'}",0,1,/players/1683732/nicolas-masskooni,False,True,,,,,,False,Nicolas Masskooni,Nicolas,Masskooni,Nicolas Masskooni,1683732,"[1, 1]",,,assist by Pablo Melgar,/players/1946199/pablo-melgar,1946199.0,assist_by,Pablo Melgar,Masskooni,2,114830
089Goal1922803undefinedtrue,89,Goal,89,,0,"{'id': 1922803, 'name': 'Pedro Augusto', 'profileUrl': '/players/1922803/pedro-augusto'}",1,2,/players/1922803/pedro-augusto,False,True,,Penalty,penalty,Pen,penalties_short,False,Pedro Augusto,Pedro,Augusto,Pedro Augusto,1922803,"[2, 2]",,,,,,,,Augusto,2,114830
071Goal903046undefinedtrue,71,Goal,71,,0,"{'id': 903046, 'name': 'William Álvarez', 'profileUrl': '/players/903046/william-alvarez'}",0,0,/players/903046/william-alvarez,False,True,,,,,,False,William Álvarez,William,Álvarez,William Álvarez,903046,"[1, 0]",,,,,Álvarez,2,164353
090Goal1139246undefinedtrue,90 + 6,Goal,90,6,0,"{'id': 1139246, 'name': 'Michell Ramos', 'profileUrl': '/players/1139246/michell-ramos'}",0,1,/players/1139246/michell-ramos,+6,True,,,,,,False,Michell Ramos,Michell,Ramos,Michell Ramos,1139246,"[1, 1]",,,assist by Miyhel Ortiz,/players/1353357/miyhel-ortiz,1353357,assist_by,Miyhel Ortiz,Ramos,2,49720
035Goal854815undefinedtrue,35,Goal,35,,0,"{'id': 854815, 'name': 'Juan Montenegro', 'profileUrl': '/players/854815/juan-montenegro'}",0,1,/players/854815/juan-montenegro,False,True,,,,,,False,Juan Montenegro,Juan,Montenegro,Juan Montenegro,854815,"[1, 1]",,,assist by Ángel Quiñónez,/players/924019/angel-quinonez,924019,assist_by,Ángel Quiñónez,Montenegro,2,1504766
048Goal1702356undefinedtrue,48,Goal,48,,0,"{'id': 1702356, 'name': 'Daniel Castellón', 'profileUrl': '/players/1702356/daniel-castellon'}",1,1,/players/1702356/daniel-castellon,False,True,,,,,,False,Daniel Castellón,Daniel,Castellón,Daniel Castellón,1702356,"[2, 1]",,,assist by Iván Huayhuata,/players/71249/ivan-huayhuata,71249,assist_by,Iván Huayhuata,Castellón,2,1504766
042Goal1131954undefinedtrue,42,Goal,42,,0,"{'id': 1131954, 'name': 'Darwin Lom', 'profileUrl': '/players/1131954/darwin-lom'}",0,0,/players/1131954/darwin-lom,False,True,,Penalty,penalty,Pen,penalties_short,False,Darwin Lom,Darwin,Lom,Darwin Lom,1131954,"[1, 0]",,,,,,,,Lom,2,2527
081Goal1131954undefinedtrue,81,Goal,81,,0,"{'id': 1131954, 'name': 'Darwin Lom', 'profileUrl': '/players/1131954/darwin-lom'}",2,0,/players/1131954/darwin-lom,False,True,,,,,,False,Darwin Lom,Darwin,Lom,Darwin Lom,1131954,"[3, 0]",,,assist by Carmelo Algarañaz,/players/728435/carmelo-algaranaz,728435.0,assist_by,Carmelo Algarañaz,Lom,2,2527
060Goal969887undefinedtrue,60,Goal,60,,0,"{'id': 969887, 'name': 'Adrián Estacio', 'profileUrl': '/players/969887/adrian-estacio'}",1,0,/players/969887/adrian-estacio,False,True,,,,,,False,Adrián Estacio,Adrián,Estacio,Adrián Estacio,969887,"[2, 0]",,,,,,,,Estacio,2,2527
066Goal96481undefinedtrue,66,Goal,66,,0,"{'id': 96481, 'name': 'Marcelo Moreno', 'profileUrl': '/players/96481/marcelo-moreno'}",0,1,/players/96481/marcelo-moreno,False,True,,Penalty,penalty,Pen,penalties_short,False,Marcelo Moreno,Marcelo,Moreno,Marcelo Moreno,96481,"[1, 1]",,,,,,,,Moreno,2,1844
